sample_id	url	host	text_preview	predicted_domain	gold_domain	reviewer_note
s0001	http://www.neoearly.net/2463058	www.neoearly.net	처음엔 우리글을 담는다는 이유로 굳이 이런 디자인이 필요할까란 생각도 했었다. 평범한 타블렛이 넘쳐나고 있었으니... 하지만 붓으로 휘갈기듯 써내려가는 우리글을 표현하는데 이 정도의 고풍스러움은 있는게 좋겠다는 생각을 갖게한 이 타블렛은 디자이너 장순규, 이청, 임용혁의 공동 작품으로 왠지 21세기의 서당에서 공부하는 학	web_general		
s0002	http://www.milemoa.com/2012/09/24/chase-ur-mall/	www.milemoa.com	똑같은 상품이라도 쿠폰이 있느냐 없느냐에 따라 가격이 달라지는 것 미국 생활을 오래하신 분들은 다들 잘 알고 계시리라 생각합니다. 온라인 쇼핑의 세계도 마찬가지인데요. 똑같은 상점이라도 어떤 링크를 타고 가느냐에 따라 가격이 달라지기고 하고, 현금 적립금이 생기기도 하고, 또는 마일리지, 포인트를 적립할 수도 있습니다. 	web_general		
s0003	http://www.debian.org/devel/website/content_negotiation.ko.html	www.debian.org	Content Negotiation 서버는 어떤 파일을 제공해야 할지 어떻게 알까요? 내부 링크가 .html로 끝나지 않는다는 것을 알게 될 것입니다. 서버가 content negotiation을 사용하여 문서의 어떤 버전을 전달할 것인지 결정하기 때문입니다. 한 가지 이상을 선택할 수 있다면 서버는 제공할 수 있는 모든	technical		
s0004	http://www.kumsn.org/kr/index.php?mid=kumsn_right&listStyle=list&document_srl=30413	www.kumsn.org	미혼모의 권리 글 수 26 2011.11.21 12:11:48 (*.196.28.220) 1603 * 이 글은 이화여자대학교 젠더법학연구소가 주최한 국제학술대회, "비혼모, 입양과 젠더법" (2011년 5월 27일)에서 발표되었으며 학술대회 자료집에 수록된 것을 한국미혼모지원네트워크에서 번역한 것입니다. 번역에 관한 문의	web_general		
s0005	http://animal.memozee.com/view.php?tid=3&did=19764&lang=kr	animal.memozee.com	수염풍뎅이 Polyphylla laticollis manchurica (Garden Chafer) 수염풍뎅이 (검정풍뎅이과) 성충은 6~7월에 많으며, 한국, 만주, 몽고, 일본 등지에 분포한다. 수염풍뎅이 Polyphylla laticollis manchurica Semenov 분류 : 검정풍뎅이과 형태 : 몸길이 31	web_general		
s0006	http://www.myquickfind.com/dictionary/	www.myquickfind.com	NOT FOUND : 페이지를 찾을 수 없습니다. 요청하신 페이지를 찾을 수 없습니다. 페이지가 변경 되었거나 시스템의 일시적인 장애일 수 있습니다. 키보드의 Ctrl+F5 키를 동시에 눌러 페이지 새로고쳐 보시거나, 재접속을 하여 보시기 바랍니다. 위의 방법을 사용한 후에도 동일한 문제가 계속 발생하실 경우에는 고객센터	web_general		
s0007	http://www.rolex.com/ko/rolex-dealers/dealers-locator.html/country=ireland/region=galway/city=/.html	www.rolex.com	A Hartmann & Son Ltd 롤렉스 공식 판매점 27-29 William Street 골웨이 골웨이 아일랜드 tel: +353 91 56 20 63 fax: +353 91 56 20 10 롤렉스 공식 판매점 전세계 롤렉스 지사 롤렉스 공식 판매점만이 롤렉스 정품을 판매하며 애프터세일즈 서비스를 제공합니다. 또한 	web_general		
s0008	http://www.azorobotics.com/equipment-details.aspx?EquipID=297&lang=ko	www.azorobotics.com	축은는 조절 가능한 바닥 장착 요소를 사용하여지면에 나올 것입니다. 랙에은 oveable하고 어떤 위치에 배치 활용하실 수 있습니다. 이것은 빠르고 정확한 설치를 확인하고 고르지 지상뿐만 아니라 배선과 튜브와 같은 장애물을 보정 할 수 있습니다. 높은 스트레스 수준에 대한 설계 축이 산업 노출을 견딜 수 있도록 건설되었습	web_general		
s0009	http://windows.microsoft.com/ko-kr/windows7/working-with-libraries	windows.microsoft.com	이전 버전의 Windows(윈도우)에서 파일 관리란 서로 다른 폴더 및 하위 폴더에서 파일을 관리하는 것을 의미했습니다. 이 버전의 Windows(윈도우)에서는 라이브러리를 사용하여 저장된 위치에 상관없이 파일을 구성하고 파일에 액세스할 수도 있습니다. 라이브러리는 저장된 위치에서 파일을 이동할 필요 없이 여러 위치에서 	web_general		
s0010	http://kin.naver.com/qna/detail.nhn?d1id=5&dirId=50104&docId=175114954	kin.naver.com	하우젠 에어컨 - hap**** - 질문 92건 질문마감률94.4% - 2013.06.21 22:56 - Mobile - 답변 - 1 - 조회 - 327 언제 어디서나 쉽고 빠르게 질문하자! 모바일 지식iN으로 질문해보세요.자세히보기 질문자 인사 빠르고 좋은 답변 고맙습니다. 삼성전자가 생활가전에 관한 모든 궁금증을 해소	web_general		
s0011	http://www.tripadvisor.co.kr/Hotel_Review-g670605-d1555435-Reviews-Garni_Mitterstieler-Fie_allo_Sciliar_South_Tyrol_Province_Trentino_Alto_Adige.html	www.tripadvisor.co.kr	위치: 이탈리아 > 트렌티노-알토아디제 > South Tyrol Province > Fie allo Sciliar 4위 (8건의 Fie allo Sciliar 소재 모텔 / B&B 중에서) 가격대 (1박): 95,137 원 - 115,222 원 - 예약 옵션: - 트립어드바이저는 Booking.com사와 제휴 관계를 맺고	ko_en_mixed		
s0012	http://ko.wikipedia.org/wiki/%EC%B9%B4%EB%A5%BC_%EB%A7%88%EB%A5%B4%ED%85%94	ko.wikipedia.org	카를 마르텔  ||이 문서의 내용은 출처가 분명하지 않습니다.  지금 바로 이 하여, 참고하신 문헌이나 신뢰할 수 있는 출처를 주석 등으로 표기해 주세요. 검증되지 않은 내용은 삭제될 수도 있습니다. 내용에 대한 의견은 토론 문서에서 나누어 주세요. |카를 마르텔| |680년 8월 23일 - 741년 10월 22일|  카	encyclopedia		
s0013	https://blogsabo.ahnlab.com/tag/%EC%A0%80%EA%B0%80%ED%95%AD%EA%B3%B5	blogsabo.ahnlab.com	저가항공(1) 저가 항공사, 진짜 득이 되는 이용법 5가지 몇 년 전부터 전세계적으로 저가 항공사들이 각국의 하늘을 점령하기 시작했다. 대표적인 회사는 유럽의 이지젯. 이지젯은 이미 대부분의 배낭여행객에게 하나의 프로토콜이 돼버렸다. 그런가하면 미국에는 사우스웨스트와 젯블루가 있다. 하지만 많은 사람이 모르는 전세계 최대	web_general		
s0014	https://misharp.co.kr/product/%EB%B0%80%EB%A6%AC-%EB%8F%84%ED%8A%B8-%EC%86%8C%EB%A7%A4t-2-color/24166/category/1/display/3/	misharp.co.kr	|상품명||밀리 도트 소매T (2 color)| |판매가격||34,800원| |적립금||340원 (1%)| |수량| |SNS 상품홍보||  |컬러| |사이즈| (최소주문수량 1개 이상 / 최대주문수량 0개 이하)사이즈 가이드 할인가가 적용된 최종 결제예정금액은 주문 시 확인할 수 있습니다. 얌전하게, 날씬한 핏이면서 블라	web_general		
s0015	https://astralneo.tistory.com/600	astralneo.tistory.com	156시간 48분, 프롬의 역대 보스중 최흉이라는 말레니아를 클리어했습니다. 제 경험으로도, 데몬즈 소울과 블러드본은 못해봤지만 역대 최악이에요. 지난 포스팅부터 10시간쯤 들었는데, 미켈라의 성수 지역 자체가 아무래도 레벨 디자인이 정교하질 못합니다. 이럴거면 상시 영체 동반 가능하게 해야 할 정도라고 느껴지고요. 그냥	blog		
